編號,年份,月,日,星期,號碼1,號碼2,號碼3,號碼4,號碼5
200700001,2007,01,01,1,09 , 11 , 27 , 28 , 38,
200700002,2007,01,02,2,02 , 12 , 33 , 36 , 37,
200700003,2007,01,03,3,22 , 23 , 27 , 29 , 30,
200700004,2007,01,04,4,03 , 09 , 23 , 32 , 39,
200700005,2007,01,05,5,09 , 12 , 13 , 15 , 26,
200700006,2007,01,08,1,08 , 11 , 13 , 24 , 39,
200700007,2007,01,09,2,05 , 08 , 14 , 17 , 28,
200700008,2007,01,10,3,05 , 30 , 34 , 35 , 38,
200700009,2007,01,11,4,07 , 15 , 18 , 20 , 37,
200700010,2007,01,12,5,06 , 21 , 23 , 26 , 33,
200700011,2007,01,15,1,01 , 13 , 15 , 20 , 25,
200700012,2007,01,16,2,06 , 13 , 27 , 31 , 32,
200700013,2007,01,17,3,11 , 25 , 26 , 27 , 30,
200700014,2007,01,18,4,10 , 15 , 20 , 22 , 28,
200700015,2007,01,19,5,10 , 11 , 17 , 21 , 38,
200700016,2007,01,22,1,10 , 13 , 15 , 28 , 39,
200700017,2007,01,23,2,07 , 17 , 24 , 30 , 39,
200700018,2007,01,24,3,03 , 04 , 15 , 23 , 34,
200700019,2007,01,25,4,08 , 10 , 14 , 21 , 24,
200700020,2007,01,26,5,06 , 08 , 10 , 36 , 37,
200700021,2007,01,29,1,03 , 08 , 11 , 17 , 38,
200700022,2007,01,30,2,05 , 10 , 12 , 15 , 27,
200700023,2007,01,31,3,03 , 04 , 15 , 29 , 34,
200700024,2007,02,01,4,13 , 18 , 25 , 26 , 36,
200700025,2007,02,02,5,06 , 11 , 12 , 15 , 35,
200700026,2007,02,05,1,03 , 16 , 19 , 20 , 31,
200700027,2007,02,06,2,02 , 13 , 14 , 29 , 39,
200700028,2007,02,07,3,07 , 11 , 23 , 32 , 35,
200700029,2007,02,08,4,05 , 10 , 31 , 37 , 39,
200700030,2007,02,09,5,07 , 16 , 20 , 25 , 27,
200700031,2007,02,12,1,13 , 15 , 16 , 23 , 34,
200700032,2007,02,13,2,02 , 22 , 28 , 29 , 34,
200700033,2007,02,14,3,01 , 15 , 20 , 23 , 28,
200700034,2007,02,15,4,06 , 24 , 27 , 28 , 33,
200700035,2007,02,16,5,24 , 28 , 29 , 32 , 37,
200700036,2007,02,19,1,09 , 12 , 24 , 34 , 37,
200700037,2007,02,20,2,04 , 06 , 17 , 31 , 36,
200700038,2007,02,21,3,08 , 18 , 20 , 32 , 34,
200700039,2007,02,22,4,09 , 17 , 20 , 21 , 37,
200700040,2007,02,23,5,09 , 12 , 16 , 19 , 25,
200700041,2007,02,26,1,06 , 20 , 23 , 25 , 28,
200700042,2007,02,27,2,09 , 12 , 19 , 23 , 34,
200700043,2007,02,28,3,09 , 11 , 21 , 22 , 38,
200700044,2007,03,01,4,02 , 03 , 12 , 18 , 31,
200700045,2007,03,02,5,07 , 22 , 23 , 33 , 37,
200700046,2007,03,05,1,05 , 11 , 19 , 21 , 25,
200700047,2007,03,06,2,12 , 16 , 17 , 19 , 34,
200700048,2007,03,07,3,02 , 12 , 19 , 30 , 34,
200700049,2007,03,08,4,07 , 11 , 20 , 31 , 34,
200700050,2007,03,09,5,02 , 17 , 30 , 31 , 38,
200700051,2007,03,12,1,08 , 15 , 25 , 27 , 38,
200700052,2007,03,13,2,06 , 09 , 16 , 18 , 22,
200700053,2007,03,14,3,06 , 09 , 16 , 37 , 39,
200700054,2007,03,15,4,01 , 07 , 21 , 27 , 33,
200700055,2007,03,16,5,01 , 02 , 18 , 26 , 38,
200700056,2007,03,19,1,05 , 20 , 24 , 28 , 39,
200700057,2007,03,20,2,02 , 10 , 14 , 18 , 22,
200700058,2007,03,21,3,06 , 14 , 34 , 37 , 38,
200700059,2007,03,22,4,07 , 25 , 26 , 34 , 36,
200700060,2007,03,23,5,12 , 19 , 20 , 29 , 32,
200700061,2007,03,26,1,26 , 27 , 32 , 33 , 36,
200700062,2007,03,27,2,11 , 20 , 36 , 37 , 38,
200700063,2007,03,28,3,09 , 25 , 28 , 34 , 37,
200700064,2007,03,29,4,08 , 22 , 23 , 27 , 29,
200700065,2007,03,30,5,06 , 19 , 22 , 33 , 37,
200700066,2007,04,02,1,01 , 07 , 21 , 33 , 35,
200700067,2007,04,03,2,10 , 11 , 13 , 29 , 31,
200700068,2007,04,04,3,01 , 19 , 30 , 34 , 35,
200700069,2007,04,05,4,07 , 21 , 22 , 23 , 36,
200700070,2007,04,06,5,04 , 07 , 12 , 33 , 34,
200700071,2007,04,09,1,11 , 30 , 32 , 34 , 39,
200700072,2007,04,10,2,06 , 08 , 09 , 30 , 39,
200700073,2007,04,11,3,25 , 26 , 31 , 37 , 39,
200700074,2007,04,12,4,01 , 09 , 11 , 17 , 25,
200700075,2007,04,13,5,22 , 24 , 27 , 32 , 37,
200700076,2007,04,16,1,14 , 18 , 26 , 28 , 36,
200700077,2007,04,17,2,02 , 11 , 24 , 31 , 32,
200700078,2007,04,18,3,03 , 12 , 22 , 38 , 39,
200700079,2007,04,19,4,01 , 14 , 20 , 22 , 36,
200700080,2007,04,20,5,03 , 06 , 22 , 37 , 39,
200700081,2007,04,23,1,02 , 07 , 10 , 13 , 30,
200700082,2007,04,24,2,01 , 04 , 06 , 09 , 16,
200700083,2007,04,25,3,13 , 15 , 19 , 29 , 37,
200700084,2007,04,26,4,05 , 07 , 15 , 32 , 39,
200700085,2007,04,27,5,08 , 10 , 21 , 23 , 39,
200700086,2007,04,30,1,04 , 07 , 12 , 17 , 29,
200700087,2007,05,01,2,01 , 10 , 22 , 34 , 39,
200700088,2007,05,02,3,04 , 23 , 34 , 37 , 39,
200700089,2007,05,03,4,01 , 05 , 18 , 25 , 37,
200700090,2007,05,04,5,07 , 08 , 09 , 12 , 14,
200700091,2007,05,07,1,04 , 09 , 18 , 27 , 28,
200700092,2007,05,08,2,02 , 10 , 18 , 23 , 33,
200700093,2007,05,09,3,03 , 15 , 30 , 35 , 36,
200700094,2007,05,10,4,14 , 19 , 22 , 25 , 35,
200700095,2007,05,11,5,15 , 18 , 19 , 21 , 24,
200700096,2007,05,14,1,02 , 09 , 10 , 14 , 39,
200700097,2007,05,15,2,05 , 08 , 11 , 23 , 38,
200700098,2007,05,16,3,01 , 11 , 18 , 21 , 24,
200700099,2007,05,17,4,04 , 05 , 06 , 13 , 33,
200700100,2007,05,18,5,06 , 11 , 15 , 37 , 39,
200700101,2007,05,21,1,08 , 15 , 20 , 23 , 25,
200700102,2007,05,22,2,01 , 13 , 18 , 31 , 32,
200700103,2007,05,23,3,04 , 08 , 21 , 29 , 32,
200700104,2007,05,24,4,07 , 08 , 13 , 30 , 35,
200700105,2007,05,25,5,04 , 13 , 19 , 23 , 35,
200700106,2007,05,28,1,04 , 05 , 10 , 17 , 37,
200700107,2007,05,29,2,10 , 14 , 15 , 29 , 35,
200700108,2007,05,30,3,05 , 20 , 33 , 38 , 39,
